URL,Score,Performance,Accessibility,Best Practices,SEO,FCP,LCP,CLS,FID,TBT,SI,Color Contrast,Headings,Image Alts,Link Names,Errors,Inspector Issues,Images Responsive,Image Aspect Ratio,Indexable
"/event/crossroads-of-the-west-gun-show/72995/",73,63,83,54,92,2740.02,20307.11,0.01,50,0,7646.09,0,0,1,1,0,0,1,1,1
"/event/crossroads-of-the-west-gun-shows/72039/",74,63,83,58,92,3044.42,19530.02,0.01,58,12,7118.17,0,0,1,1,1,0,1,1,1
"/event/culinary/chalet-on-six-%7c-an-apr%c3%a8s-yurt-dining-experience/75548/",73,63,83,54,92,3043.71,21058.14,0,54,4,6997.01,0,0,1,1,0,0,1,1,1
"/event/culinary/mad-hatter-tea-party/77474/",73,63,83,54,92,2741.63,24093.09,0,52,2,8279.06,0,0,1,1,0,0,1,1,1
"/event/culinary/salt-%26-season/77573/",73,62,83,54,92,3041.05,22511.29,0,50,0,8017.52,0,0,1,1,0,0,1,1,1
"/event/culinary/wasatch-community-gardens-spring-plant-sale-fundraiser/77955/",73,63,83,54,92,3039.1,21500.24,0,59,10,6907.02,0,0,1,1,0,0,1,1,1
"/event/dance/byu-dancensemble-in-concert/72259/",73,62,83,54,92,3041.16,28101.02,0,54,5,7899.03,0,0,1,1,0,0,1,1,1
"/event/dance/cinco-de-mayo-fiesta-2026/77820/",73,64,83,54,92,2739.1,21588.82,0,70,29,7109.39,0,0,1,1,0,0,1,1,1
"/event/dance/cinderella/74972/",73,62,83,54,92,2741.07,21579.83,0,59,9,10752.62,0,0,1,1,0,0,1,1,1
"/event/dance/fusion-spring-finale/77175/",73,63,83,54,92,3040.82,25766.28,0,57,9,7235.54,0,0,1,1,0,0,1,1,1
"/event/dance/grupo-folkl%c3%b3rico-esencia-de-m%c3%a9xico/72346/",73,63,83,54,92,2740.76,25817.89,0,55,8,8379.49,0,0,1,1,0,0,1,1,1
"/event/dance/intro-to-salsa-class/77951/",73,64,83,54,92,2740.83,20837.71,0,57,13,7059.71,0,0,1,1,0,0,1,1,1
"/event/dance/junction-dance-co%3a-dramaturgy/77502/",73,64,83,54,92,2739.62,25374.54,0,54,6,7092.41,0,0,1,1,0,0,1,1,1
"/event/dance/odyssey-dance-theatres-shut-up-and-dance%3a-chicago-nights/70722/",73,64,83,54,92,2738.77,27230.01,0,59,9,7034.85,0,0,1,1,0,0,1,1,1
"/event/dance/swan-lake-%26-tap-vibes/77711/",73,63,83,54,92,2738.6,27572.9,0,59,9,8392.24,0,0,1,1,0,0,1,1,1
"/event/dance/swan-lake/77065/",73,63,83,54,92,2740.78,22291.29,0,54,4,8513.53,0,0,1,1,0,0,1,1,1
