"Address","Content Type","Status Code","Status","Indexability","Indexability Status"
"https://www.visitsaltlake.com/restaurants/cuisine-types/vegan-vegetarian/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/snow-reports-conditions/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/mountain-resorts/big-cottonwood/hotels-lodging/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/city-local-parks/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/events/sports-outdoors/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/events/kids-families/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/things-to-do/tours-experiences/guided-tours-services/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/things-to-do/shopping/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/restaurants/romantic/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/things-to-do/tours-experiences/uniquely-salt-lake-pass/salt-lake-discount-passes-faq/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected"
"https://www.visitsaltlake.com/salt-lake-city/airport-fairgrounds/events/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/things-to-do/wellness/yoga/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/downtown/bars/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/snowbird/snowbird-trail-map/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/things-to-do/attractions/olympic-venues/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/press-research/awards-rankings/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/buffet/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/downtown/shopping/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/things-to-do/shopping/gifts-clothing-retail/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/community-diversity/accessibility/wheelchair-accessible-businesses/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/mountain-resorts/big-cottonwood/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/avenues-capitol-hill/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/mountain-resorts/little-cottonwood/bars/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/must-do/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/blog/stories/category/neighborhoods/5bce088111f2ef203ebcaf45/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/central-city/shopping/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/pho-vietnamese/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/where-the-locals-go/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/fishing-wildlife/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/event/2026-alta-snowflake-festival/77048/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected"
"https://www.visitsaltlake.com/members/member-events/member-portal-trainings/","text/html; charset=utf-8","200","OK","Non-Indexable","noindex"
"https://www.visitsaltlake.com/west-valley/events/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/mountain-resorts/big-cottonwood/restaurants/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/packages-deals/discount-passport/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/event/utah-jazz-vs-cleveland-cavaliers/71743/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected"
"https://www.visitsaltlake.com/places-to-stay/hotels/luxury/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/university-foothill/events/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/romantic-getaway/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/restaurants/coffee-shops/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/things-to-do/attractions/genealogy/familysearch-library/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/restaurants/food-trucks/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/sugar-house/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/neighborhoods/west-valley/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/about-us/sponsorship-request/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/brighton-resort/brighton-ski-passes-lift-tickets/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/southwest-valley/events/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/members/member-events/quarterly-luncheons/","text/html; charset=utf-8","200","OK","Non-Indexable","noindex"
"https://www.visitsaltlake.com/restaurants/cuisine-types/bbq/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/about-us/board-of-directors/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/travel-trade/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/blog/stories/category/restaurants-%26-bars/5a9dab99cd9d441d5835b2d1/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/the-great-salt-lake-region/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/pizza/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/central-city/events/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/mountain-resorts/little-cottonwood/hotels-lodging/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/alta-ski-area/alta-trail-map/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/restaurants/outdoor-seating/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/sushi/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/midvalley/holladay-murray/shopping/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/neighborhoods/salt-lake-city/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/special-package-deals/","text/html; charset=utf-8","200","OK","Non-Indexable","noindex"
"https://www.visitsaltlake.com/press-research/local-media/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/university-foothill/hotels-lodging/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/transportation/parking/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/summer-outdoor-adventure/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/about-us/awards/","text/html; charset=utf-8","200","OK","Indexable",""
