"Address","Occurrences","Indexability","Indexability Status","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/must-do/","1","Indexable","","https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/must-do/","","","","","","",""
"https://www.visitsaltlake.com/blog/stories/category/neighborhoods/5bce088111f2ef203ebcaf45/","1","Indexable","","https://www.visitsaltlake.com/blog/stories/category/neighborhoods/5bce088111f2ef203ebcaf45/","","","","","","",""
"https://www.visitsaltlake.com/salt-lake-city/central-city/shopping/","0","Indexable","","","","","","","","",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/pho-vietnamese/","0","Indexable","","","","","","","","",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/where-the-locals-go/","1","Indexable","","https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/where-the-locals-go/","","","","","","",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/fishing-wildlife/","0","Indexable","","","","","","","","",""
"https://www.visitsaltlake.com/members/member-events/member-portal-trainings/","1","Non-Indexable","noindex","https://www.visitsaltlake.com/members/member-events/member-portal-trainings/","","noindex","","","","",""
"https://www.visitsaltlake.com/west-valley/events/","0","Indexable","","","","","","","","",""
"https://www.visitsaltlake.com/mountain-resorts/big-cottonwood/restaurants/","0","Indexable","","","","","","","","",""
"https://www.visitsaltlake.com/plan-your-visit/packages-deals/discount-passport/","1","Indexable","","https://www.visitsaltlake.com/plan-your-visit/packages-deals/discount-passport/","","","","","","",""
"https://www.visitsaltlake.com/places-to-stay/hotels/luxury/","0","Indexable","","","","","","","","",""
"https://www.visitsaltlake.com/salt-lake-city/university-foothill/events/","0","Indexable","","","","","","","","",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/romantic-getaway/","1","Indexable","","https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/romantic-getaway/","","","","","","",""
"https://www.visitsaltlake.com/restaurants/coffee-shops/","0","Indexable","","","","","","","","",""
"https://www.visitsaltlake.com/things-to-do/attractions/genealogy/familysearch-library/","1","Indexable","","https://www.visitsaltlake.com/things-to-do/attractions/genealogy/familysearch-library/","","","","","","",""
"https://www.visitsaltlake.com/restaurants/food-trucks/","0","Indexable","","","","","","","","",""
"https://www.visitsaltlake.com/salt-lake-city/sugar-house/","1","Indexable","","https://www.visitsaltlake.com/salt-lake-city/sugar-house/","","","","","","",""
"https://www.visitsaltlake.com/neighborhoods/west-valley/","1","Indexable","","https://www.visitsaltlake.com/neighborhoods/west-valley/","","","","","","",""
"https://www.visitsaltlake.com/about-us/sponsorship-request/","1","Indexable","","https://www.visitsaltlake.com/about-us/sponsorship-request/","","","","","","",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/brighton-resort/brighton-ski-passes-lift-tickets/","1","Indexable","","https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/brighton-resort/brighton-ski-passes-lift-tickets/","","","","","","",""
"https://www.visitsaltlake.com/southwest-valley/events/","0","Indexable","","","","","","","","",""
"https://www.visitsaltlake.com/members/member-events/quarterly-luncheons/","1","Non-Indexable","noindex","https://www.visitsaltlake.com/members/member-events/quarterly-luncheons/","","noindex","","","","",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/bbq/","0","Indexable","","","","","","","","",""
"https://www.visitsaltlake.com/about-us/board-of-directors/","1","Indexable","","https://www.visitsaltlake.com/about-us/board-of-directors/","","","","","","",""
