"Address","Occurrences","H1-1","H1-1 Length","H1-2","H1-2 Length","Indexability","Indexability Status"
"https://www.visitsaltlake.com/things-to-do/tours-experiences/salt-lake-arts-culture-pass/","1","Salt Lake Arts & Culture Pass","29","","0","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/extended-stay/","1","Extended Stay Hotels in Salt Lake","33","","0","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/downtown/events/","1","Downtown Salt Lake Events","25","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/sports/professional-sports/","1","Professional Sports","19","","0","Indexable",""
"https://www.visitsaltlake.com/about-us/volunteer-opportunities/","1","Volunteer Opportunities","23","","0","Indexable",""
"https://www.visitsaltlake.com/events/holiday-events/","1","Holiday Events in Salt Lake","27","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/shopping/antiques/","1","Antiques","8","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/shopping/malls/","1","Malls","5","","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/transportation/airports-airlines/","1","Airports & Airlines","19","","0","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/german/","1","German","6","","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/visitors-center-info/","1","Visitors Center & Info","22","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/arts-culture/museums/","1","Museums","7","","0","Indexable",""
"https://www.visitsaltlake.com/members/member-events/brew-ha-ha/","1","Brew HA HA","10","","0","Non-Indexable","noindex"
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/transportation/how-to-use-the-ski-bus/","1","HOW TO USE THE SKI BUS","22","","0","Indexable",""
