"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://www.visitsaltlake.com/things-to-do/attractions/olympic-venues/","1","Visit all of the attractions and facilities that were in use for the 2002 Olympic Winter Games. Go ice skating, take a luge ride or watch training athletes!","156","918","Indexable",""
"https://www.visitsaltlake.com/press-research/awards-rankings/","0","","0","0","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/buffet/","1","Looking for great breakfast, lunch or dinner dining options? Explore Salt Lake City buffets for delicious local cuisine with a variety of options.","146","862","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/downtown/shopping/","1","Love to shop? Downtown Salt Lake City has many options including malls, specialty shops, antique stores, collectible shops, book stores, and music stores.","154","954","Indexable",""
"https://www.visitsaltlake.com/things-to-do/shopping/gifts-clothing-retail/","1","You won't leave these Salt Lake City shopping venues empty-handed. Find gifts for the holidays, special occasions, and for people of all ages, here in SLC.","155","940","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/community-diversity/accessibility/wheelchair-accessible-businesses/","1","Salt Lake has a variety of businesses with wheelchair accessibility. These companies & venues are reportedly fully or partially wheelchair accessible.","150","907","Indexable",""
"https://www.visitsaltlake.com/mountain-resorts/big-cottonwood/","1","Our guide to the best restaurants, bars, and lodging in Big Cottonwood Canyon — home to Brighton and Solitude ski resorts — only 20 minutes from downtown SLC.","158","1009","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/avenues-capitol-hill/","1","On the hill rising from the Downtown and Central City districts, this neighborhood is a world unto itself. Historic bed and breakfasts, artisan coffee, craft beer, charming local restaurants, cathedrals and politically liberal residents give this charming neighborhood its’ unique character.","291","1734","Indexable",""
"https://www.visitsaltlake.com/mountain-resorts/little-cottonwood/bars/","0","","0","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/must-do/","1","We've put together a list of the best things to do in Salt Lake City, whether you are flying solo or have the kids in tow. See how easy it is to have fun in SLC!","161","941","Indexable",""
"https://www.visitsaltlake.com/blog/stories/category/neighborhoods/5bce088111f2ef203ebcaf45/","0","","0","0","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/central-city/shopping/","0","","0","0","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/pho-vietnamese/","1","Enjoy your favorite Vietnamese dishes and Pho in Salt Lake City! Enjoy delicious options, from traditional flavors to modern takes on familiar classics.","152","917","Indexable",""
